what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.1.v200807010433,org.eclipse.datatools.connectivity.apache.derby.ui,1242414234527
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.3.v200902120834,org.eclipse.datatools.connectivity.sqm.server.ui,1242414234527
stopped,bundle,org.eclipse.datatools.sqltools.data.core,1.0.1.v200902140515,org.eclipse.datatools.sqltools.data.core,1242414234527
stopped,bundle,org.eclipse.datatools.sqltools.result,1.0.0.v200902120900,org.eclipse.datatools.sqltools.result,1242414234527
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200812121520,org.eclipse.datatools.sqltools.plan,1242414234527
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200812121740,org.eclipse.datatools.sqltools.common.ui,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries.ui,1.0.0.v200805160737,org.eclipse.datatools.enablement.ibm.db2.iseries.ui,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries,1.0.1.v200811210224,org.eclipse.datatools.enablement.ibm.db2.iseries,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.msft.sqlserver.ui,1.0.1.v200808222228,org.eclipse.datatools.enablement.msft.sqlserver.ui,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v200807181158,org.eclipse.datatools.enablement.msft.sqlserver,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200901170137,org.eclipse.datatools.enablement.jdt.classpath,1242414234527
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.ui,1242414234527
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.3.v200810140349,org.eclipse.datatools.connectivity.ui.dse,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.1.2.v200901191112,org.eclipse.datatools.enablement.oda.ws.ui,1242414234527
stopped,bundle,org.eclipse.datatools.connectivity.oda.flatfile.ui,3.0.8.v200812171046,org.eclipse.datatools.connectivity.oda.flatfile.ui,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.1.2.v200812171046,org.eclipse.datatools.enablement.oda.xml.ui,1242414234527
stopped,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.0.8.v200901061015,org.eclipse.datatools.connectivity.oda.design.ui,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.sap.maxdb.ui,1.0.0.v200805152355,org.eclipse.datatools.enablement.sap.maxdb.ui,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.oracle.ui,1.0.1.v200806260315,org.eclipse.datatools.enablement.oracle.ui,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.ibm.informix.ui,1.0.1.v200806260315,org.eclipse.datatools.enablement.ibm.informix.ui,1242414234527
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.1.3.v200902070558,org.eclipse.datatools.connectivity.sqm.core.ui,1242414234527
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.1.3.v200901150027,org.eclipse.datatools.connectivity.ui,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.postgresql,1.0.1.v200805152355,org.eclipse.datatools.enablement.postgresql,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.sap.maxdb,1.0.0.v200805152355,org.eclipse.datatools.enablement.sap.maxdb,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.hsqldb,1.0.0.v200805152355,org.eclipse.datatools.enablement.hsqldb,1242414234527
