what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1242414227339
started,bundle,org.eclipse.equinox.security,1.0.1.R34x_v20080721,org.eclipse.equinox.security,1242414227355
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1242414227355
started,bundle,org.eclipse.jst.jsf.common,1.1.4.v20090128,org.eclipse.jst.jsf.common,1242414227355
started,bundle,org.eclipse.jst.j2ee.ui,1.1.206.v200901280857,org.eclipse.jst.j2ee.ui,1242414227355
started,bundle,org.eclipse.team.core,3.4.2.r34x_20080115,org.eclipse.team.core,1242414227355
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1242414227355
started,bundle,org.eclipse.equinox.p2.core,1.0.4.v20081112-1019,org.eclipse.equinox.p2.core,1242414227355
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1242414227355
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1242414227355
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.core,1242414227355
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk,1242414227355
started,bundle,org.eclipse.core.resources,3.4.2.R34x_v20090126,org.eclipse.core.resources,1242414227355
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1242414227355
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1242414227355
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1242414227355
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1242414227355
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1242414227355
started,bundle,org.eclipse.core.databinding,1.1.1.M20080827-0800b,org.eclipse.core.databinding,1242414227355
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.2.R34x_v20081007,org.eclipse.equinox.frameworkadmin,1242414227355
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,org.tigris.subversion.subclipse.core,1242414227355
started,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1242414227355
started,bundle,org.eclipse.equinox.p2.engine,1.0.4.v20080930,org.eclipse.equinox.p2.engine,1242414227355
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1242414227355
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1242414227355
