what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.3.v200902070611,org.eclipse.datatools.connectivity.apache.derby,1242414234527
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core,1.0.7.v200902180551,org.eclipse.datatools.connectivity.sqm.core,1242414234527
stopped,bundle,org.eclipse.datatools.connectivity.db.generic,1.0.1.v200810140922,org.eclipse.datatools.connectivity.db.generic,1242414234527
stopped,bundle,org.eclipse.datatools.enablement.sap.maxdb.dbdefinition,1.0.0.v200805152355,org.eclipse.datatools.enablement.sap.maxdb.dbdefinition,1242414234527
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200902171115,org.eclipse.emf.importer.ecore,1242414234527
stopped,bundle,org.eclipse.emf.importer.java,2.4.1.v200902171115,org.eclipse.emf.importer.java,1242414234527
stopped,bundle,org.eclipse.emf.importer.rose,2.4.0.v200902171115,org.eclipse.emf.importer.rose,1242414234542
stopped,bundle,org.eclipse.emf.ant,2.4.0.v200902171115,org.eclipse.emf.ant,1242414234542
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql.xml.query,1.0.0.v200808140615,org.eclipse.datatools.sqltools.parsers.sql.xml.query,1242414234542
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql.query,1.0.1.v200810291500,org.eclipse.datatools.sqltools.parsers.sql.query,1242414234542
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql,1.0.1.v200808140615,org.eclipse.datatools.sqltools.parsers.sql,1242414234542
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.103.v200810081720,org.eclipse.wst.jsdt.web.support.jsp,1242414234542
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.104.v200901282355,org.eclipse.wst.jsdt.web.ui,1242414234542
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.203.v200810222000,org.eclipse.jst.servlet.ui,1242414234542
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.306.v200811200248,org.eclipse.jst.ws.axis.creation.ui,1242414234542
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.305.v200809301934,org.eclipse.jst.ws.axis.consumption.ui,1242414234542
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,org.eclipse.jst.ws.axis2.creation.ui,1242414234542
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.308.v200901212148,org.eclipse.jst.ws.creation.ui,1242414234542
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,org.eclipse.jst.ws.axis2.consumption.ui,1242414234542
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,org.eclipse.jst.ws.axis2.creation.core,1242414234542
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,org.eclipse.jst.ws.axis2.consumption.core,1242414234542
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.4.v200901212148,org.eclipse.jst.ws.consumption.ui,1242414234542
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.201.v200811062130,org.eclipse.jst.j2ee.webservice.ui,1242414234542
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.203.v200810010400,org.eclipse.jst.ejb.ui,1242414234542
stopped,bundle,org.eclipse.jst.jee.ui,1.0.104.v200902040818,org.eclipse.jst.jee.ui,1242414234542
